tradeId,conn_1,conn_2,conn_3,winner
394532034,-208.328857421875,-208.03515625,-210.513916015625,3
394532035,-209.94482421875,-210.111083984375,-210.68798828125,3
394532037,-210.531982421875,-209.928955078125,-210.97314453125,3
394532039,-211.005126953125,-210.177978515625,-211.283935546875,3
394532040,-210.66796875,-210.60986328125,-210.851806640625,3
394532041,-209.2998046875,-210.695068359375,-211.510986328125,3
394532042,-141.674072265625,-141.433837890625,-142.406005859375,3
